0.1 -0 -2.30259
15.4893 0 2.74015 0
15.5557 0 2.74442 0
15.622 0 2.74868 0
15.6883 0 2.75292 0
15.7547 0 2.75714 0
15.821 0 2.76134 0
15.8873 0 2.76552 0
15.9537 0 2.76969 0
16.02 0 2.77384 0
16.0863 0 2.77797 0
16.1527 0 2.78209 0
16.219 0 2.78618 0
16.2853 0 2.79026 0
16.3517 0 2.79433 0
16.418 0 2.79838 0
16.4843 0 2.80241 0
16.5507 0 2.80643 0
16.617 0 2.81043 0
16.6833 0 2.81441 0
16.7497 0 2.81838 0
16.816 0 2.82233 0
16.8823 0 2.82627 0
16.9487 0 2.83019 0
17.015 0 2.8341 0
17.0813 0 2.83799 0
17.1477 0 2.84186 0
17.214 0 2.84572 0
17.2803 0 2.84957 0
17.3467 0 2.8534 0
17.413 0 2.85722 0
17.4793 0 2.86102 0
17.5457 0 2.86481 0
17.612 0 2.86858 0
17.6783 0 2.87234 0
17.7447 0 2.87609 0
17.811 0 2.87982 0
17.8773 0 2.88353 0
17.9437 0 2.88724 0
18.01 0 2.89093 0
18.0763 0 2.8946 0
18.1427 0 2.89827 0
18.209 0 2.90192 0
18.2753 0 2.90555 0
18.3417 0 2.90918 0
18.408 0 2.91279 0
18.4743 0 2.91638 0
18.5407 0 2.91997 0
18.607 0 2.92354 0
18.6733 0 2.9271 0
18.7397 0 2.93064 0
18.806 0 2.93418 0
18.8723 0 2.9377 0
18.9387 0 2.94121 0
19.005 0 2.9447 0
19.0713 0 2.94819 0
19.1377 0 2.95166 0
19.204 0 2.95512 0
19.2703 0 2.95857 0
19.3367 0 2.962 0
19.403 0 2.96543 0
19.4693 0 2.96884 0
19.5357 0 2.97224 0
19.602 0 2.97563 0
19.6683 0 2.97901 0
19.7347 0 2.98238 0
19.801 0 2.98573 0
19.8673 0 2.98908 0
19.9337 0 2.99241 0
20 0 2.99573 0
